OBJECTID,SMOGIS_A3_,BLOCK_NAME,AREA,SHAPE_Leng,SHAPE_Area,Longitude,Latitude
1,,Rokan,0.00000000000,14787.00552140000,13665843.95800000057,663394.149200,200794.739000
2,,Rokan,1.00000000000,768548.33360400004,6448793231.85999870300,731041.426700,133192.937900
4,,Rokan,0.00000000000,19879.06496690000,24191390.57089999691,712969.789200,175088.205700
