OBJECTID,WELL_UWI,WELL_NAME,WELL_NAME_,WELL_NAM_1,ASSET_AREA,SUB_PROD_A,WELL_NAM_2,Longitude,Latitude
6631,MINA00974D1,"7E-73","7E-73",M0974,MINAS,SLS,MINA00974D1 7E-73 M0974,775100.095100,81977.112650
6632,MINA00975H1,6B-27A,6B-27A,M0975,MINAS,SLS,MINA00975H1 6B-27A M0975,765403.045300,85856.747880
6633,MINA01590D1,5D-12E,5D-12E,M1590,MINAS,SLS,MINA01590D1 5D-12E M1590,768753.711500,88786.029050
6634,MINA01591D1,8D-46N,8D-46N,M1591,MINAS,SLS,MINA01591D1 8D-46N M1591,773993.296500,80286.208940
6635,MINA01592D1,6D-77N,6D-77N,M1592,MINAS,SLS,MINA01592D1 6D-77N M1592,771803.738400,84582.849670
6636,MINA01593D1,6D-76N,6D-76N,M1593,MINAS,SLS,MINA01593D1 6D-76N M1593,771796.878400,84581.409680
6637,MINA01594D1,5B-67E,5B-67E,M1594,MINAS,SLS,MINA01594D1 5B-67E M1594,764531.176200,87434.920280
6638,MINA01595D1,5B-66N,5B-66N,M1595,MINAS,SLS,MINA01595D1 5B-66N M1595,764049.016700,87199.200430
6639,MINA01596D1,5C-91N,5C-91N,M1596,MINAS,SLS,MINA01596D1 5C-91N M1596,765103.875700,86325.591500
6640,MINA01597D1,6D-13N,6D-13N,M1597,MINAS,SLS,MINA01597D1 6D-13N M1597,770292.449900,86343.241980
6641,MINA01598D1,8D-33E,8D-33E,M1598,MINAS,SLS,MINA01598D1 8D-33E M1598,773377.177100,80404.488690
6642,MINA01599D1,7C-78E,7C-78E,M1599,MINAS,SLS,MINA01599D1 7C-78E M1599,771080.059500,81697.327150
6643,MINA01600D1,5B-78E,5B-78E,M1600,MINAS,SLS,MINA01600D1 5B-78E M1600,765067.675600,87133.690580
6644,MINA01601D1,4C-26N,4C-26N,M1601,MINAS,SLS,MINA01601D1 4C-26N M1601,764895.935500,91152.392310
6645,MINA01602D1,5D-26E,5D-26E,M1602,MINAS,SLS,MINA01602D1 5D-26E M1602,769542.270600,88696.095260
6646,MINA01603D1,6B-46,6B-46,M1603,MINAS,SLS,MINA01603D1 6B-46 M1603,765151.665700,85292.772680
6647,MINA01604D1,3D-87E,3D-87E,M1604,MINAS,SLS,MINA01604D1 3D-87E M1604,767499.982500,91661.521970
6648,MINA01605D1,7C-58N,7C-58N,M1605,MINAS,SLS,MINA01605D1 7C-58N M1605,770507.320000,82706.801570
6649,MINA01606D1,8E-11N,8E-11N,M1606,MINAS,SLS,MINA01606D1 8E-11N M1606,775626.284600,81103.878070
6650,MINA01607D1,6D-86E,6D-86E,M1607,MINAS,SLS,MINA01607D1 6D-86E M1607,771515.718800,84244.514280
6651,MINA01608D1,6D-21E,6D-21E,M1608,MINAS,SLS,MINA01608D1 6D-21E M1608,769786.380500,85918.392350
6652,MINA01609D1,6D-21N,6D-21N,M1609,MINAS,SLS,MINA01609D1 6D-21N M1609,769791.560500,85923.542300
6653,MINA01610D1,6D-11N,6D-11N,M1610,MINAS,SLS,MINA01610D1 6D-11N M1610,769551.440700,86426.687580
6654,MINA01611D1,8C-29E,8C-29E,M1611,MINAS,SLS,MINA01611D1 8C-29E M1611,772244.388300,80206.338800
6655,MINA01612D1,8D-81N,8D-81N,M1612,MINAS,SLS,MINA01612D1 8D-81N M1612,772903.457800,78901.290300
6656,MINA01613D1,7E-47N,7E-47N,M1613,MINAS,SLS,MINA01613D1 7E-47N M1613,775859.814200,82800.086280
6657,MINA01614D1,9D-12E,9D-12E,M1614,MINAS,SLS,MINA01614D1 9D-12E M1614,774564.216000,78178.081240
6658,MINA01615D1,4B-19,4B-19,M1615,MINAS,SLS,MINA01615D1 4B-19 M1615,763484.546900,91431.671880
6659,MINA01616D1,4C-14N,4C-14N,M1616,MINAS,SLS,MINA01616D1 4C-14N M1616,764642.935700,91580.355590
6660,MINA01617D1,8E-45N,8E-45N,M1617,MINAS,SLS,MINA01617D1 8E-45N M1617,777095.003000,80280.594610
6661,MINA01618D1,8D-99N,8D-99N,M1618,MINAS,SLS,MINA01618D1 8D-99N M1618,775690.254800,78655.346090
6662,MINA01619D1,7D-66N,7D-66N,M1619,MINAS,SLS,MINA01619D1 7D-66N M1619,773274.277100,82254.496640
6663,MINA01620D1,7D-65E,7D-65E,M1620,MINAS,SLS,MINA01620D1 7D-65E M1620,772814.997500,82549.626260
6664,MINA01621D1,7D-82E,7D-82E,M1621,MINAS,SLS,MINA01621D1 7D-82E M1621,771979.988500,81710.927210
6665,MINA01622D1,7D-96E,7D-96E,M1622,MINAS,SLS,MINA01622D1 7D-96E M1622,773361.717000,81456.407540
6666,MINA01623D1,3D-73N,3D-73N,M1623,MINAS,SLS,MINA01623D1 3D-73N M1623,766377.593700,92519.344790
6667,MINA01624D1,3D-64N,3D-64N,M1624,MINAS,SLS,MINA01624D1 3D-64N M1624,766370.843700,92517.521050
6668,MINA01625D1,7D-84E,7D-84E,M1625,MINAS,SLS,MINA01625D1 7D-84E M1625,772520.787900,81756.167140
6669,MINA01626D1,6D-34N,6D-34N,M1626,MINAS,SLS,MINA01626D1 6D-34N M1626,770074.040300,85716.698390
6670,MINA01627V1,6D-33N,6D-33N,M1627,MINAS,SLS,MINA01627V1 6D-33N M1627,770071.050300,85723.058320
6671,MINA01628D1,3D-43E,3D-43E,M1628,MINAS,SLS,MINA01628D1 3D-43E M1628,765825.164300,93162.470310
6672,MINA01629D1,3D-44N,3D-44N,M1629,MINAS,SLS,MINA01629D1 3D-44N M1629,765829.174200,93168.193950
6673,MINA01630V1,3D-43N,3D-43N,M1630,MINAS,SLS,MINA01630V1 3D-43N M1630,765833.194200,93173.923990
6674,MINA01631D1,8D-15E,8D-15E,M1631,MINAS,SLS,MINA01631D1 8D-15E M1631,774298.426100,81031.308050
6675,MINA01632D1,8D-17E,8D-17E,M1632,MINAS,SLS,MINA01632D1 8D-17E M1632,774843.575400,80846.533770
6676,MINA01633D1,8D-28N,8D-28N,M1633,MINAS,SLS,MINA01633D1 8D-28N M1633,774836.355500,80844.688400
6677,MINA01993D1,8E-61N,8E-61N,M1993,MINAS,SLS,MINA01993D1 8E-61N M1993,775892.784400,79792.659560
6678,MINA01994D1,8E-51E,8E-51E,M1994,MINAS,SLS,MINA01994D1 8E-51E M1994,775881.584400,79792.139620
6679,MINA01995D1,8D-48S,8D-48S,M1995,MINAS,SLS,MINA01995D1 8D-48S M1995,775100.785300,79333.360020
6680,MINA01996D1,8E-41N,8E-41N,M1996,MINAS,SLS,MINA01996D1 8E-41N M1996,775870.284400,79791.669600
6681,MINA01997D1,8D-57N,8D-57N,M1997,MINAS,SLS,MINA01997D1 8D-57N M1997,774474.986000,79665.009660
6682,MINA01998D1,7E-56N,7E-56N,M1998,MINAS,SLS,MINA01998D1 7E-56N M1998,775851.084200,82792.596240
6683,MINA01999D1,8E-36E,8E-36E,M1999,MINAS,SLS,MINA01999D1 8E-36E M1999,777554.282600,80021.739510
6684,MINA02000D1,8D-48N,8D-48N,M2000,MINAS,SLS,MINA02000D1 8D-48N M2000,774556.385800,80247.569030
6685,MINA02001D1,7E-88E,7E-88E,M2001,MINAS,SLS,MINA02001D1 7E-88E M2001,776577.483500,81728.347480
6686,MINA02002D1,8D-49N,8D-49N,M2002,MINAS,SLS,MINA02002D1 8D-49N M2002,774806.885600,80034.679170
6687,MINA02003D1,6D-31N,6D-31N,M2003,MINAS,SLS,MINA02003D1 6D-31N M2003,769387.190900,85966.562250
6688,MINA02004D1,5D-92E,5D-92E,M2004,MINAS,SLS,MINA02004D1 5D-92E M2004,769059.291400,86237.681920
6689,MINA02005H1,8F-82A,8F-82A,M2005,MINAS,SLS,MINA02005H1 8F-82A M2005,779109.681000,78960.520700
6690,MINA02006D1,7D-17S,7D-17S,M2006,MINAS,SLS,MINA02006D1 7D-17S M2006,772922.187400,83489.215260
6691,MINA02007D1,8E-94E,8E-94E,M2007,MINAS,SLS,MINA02007D1 8E-94E M2007,777171.383200,78080.211610
6692,MINA02008D1,6C-28E,6C-28E,M2008,MINAS,SLS,MINA02008D1 6C-28E M2008,769376.891000,85962.082250
6693,MINA02009D1,7D-17N,7D-17N,M2009,MINAS,SLS,MINA02009D1 7D-17N M2009,772718.587600,83742.865010
6694,MINA02010D1,7D-53N,7D-53N,M2010,MINAS,SLS,MINA02010D1 7D-53N M2010,772106.788200,82830.395940
6695,MINA02011D1,"7E-68","7E-68",M2011,MINAS,SLS,MINA02011D1 7E-68 M2011,776128.783900,82044.437080
6696,MINA02012D1,10D-24N,10D-24N,M2012,MINAS,SLS,MINA02012D1 10D-24N M2012,777160.483400,75648.404220
6697,MINA02013D1,8C-88N,8C-88N,M2013,MINAS,SLS,MINA02013D1 8C-88N M2013,772831.187800,78927.200280
6698,MINA02014D1,9C-66,9C-66,M2014,MINAS,SLS,MINA02014D1 9C-66 M2014,773397.607400,76792.372710
6699,MINA02015D1,8E-54E,8E-54E,M2015,MINAS,SLS,MINA02015D1 8E-54E M2015,776595.453700,79999.759420
6700,MINA02016D1,6E-73E,6E-73E,M2016,MINAS,SLS,MINA02016D1 6E-73E M2016,774052.686000,84787.363950
6701,MINA02017D1,4C-26N2,4C-26N2,M2017,MINAS,SLS,MINA02017D1 4C-26N2 M2017,764965.175400,90858.906430
6702,MINA02018D1,6C-21N,6C-21N,M2018,MINAS,SLS,MINA02018D1 6C-21N M2018,766432.984300,85987.831990
6703,MINA02019D1,7D-48N,7D-48N,M2019,MINAS,SLS,MINA02019D1 7D-48N M2019,773682.886600,83193.485730
6704,MINA02020D1,5C-58N,5C-58N,M2020,MINAS,SLS,MINA02020D1 5C-58N M2020,768079.492200,87799.180150
6705,MINA02021D1,9C-38,9C-38,M2021,MINAS,SLS,MINA02021D1 9C-38 M2021,773115.957600,77932.621430
6706,MINA02022D1,6C-11E,6C-11E,M2022,MINAS,SLS,MINA02022D1 6C-11E M2022,766555.374100,86428.531550
6707,MINA02023D1,3D-74E,3D-74E,M2023,MINAS,SLS,MINA02023D1 3D-74E M2023,766476.863600,92289.864990
6708,MINA02024D1,4D-58N,4D-58N,M2024,MINAS,SLS,MINA02024D1 4D-58N M2024,769031.571000,90318.457470
6709,MINA02025D1,4A-44,4A-44,M2025,MINAS,SLS,MINA02025D1 4A-44 M2025,758233.302900,90789.646010
6710,MINA02026D1,3D-73E,3D-73E,M2026,MINAS,SLS,MINA02026D1 3D-73E M2026,766482.393600,92299.725070
6711,MINA02027D1,3D-64E,3D-64E,M2027,MINAS,SLS,MINA02027D1 3D-64E M2027,766487.933700,92309.595020
6712,MINA02028D1,3C-87,3C-87,M2028,MINAS,SLS,MINA02028D1 3C-87 M2028,764639.505700,91730.645470
6713,MINA02029D1,4C-14E,4C-14E,M2029,MINAS,SLS,MINA02029D1 4C-14E M2029,764649.295700,91725.045480
6714,MINA02030D1,3D-34E1,3D-34E,M2030,MINAS,SLS,MINA02030D1 3D-34E1 M2030,766264.993800,92919.564370
6715,MINA02031D1,7D-91N,7D-91N,M2031,MINAS,SLS,MINA02031D1 7D-91N M2031,771135.789500,81649.347170
6716,MINA02032D1,4C-24E,4C-24E,M2032,MINAS,SLS,MINA02032D1 4C-24E M2032,764765.295600,91246.076030
6717,MINA02033D1,6D-53N,6D-53N,M2033,MINAS,SLS,MINA02033D1 6D-53N M2033,770729.289600,85170.273190
6718,MINA02034D1,6C-89E,6C-89E,M2034,MINAS,SLS,MINA02034D1 6C-89E M2034,769988.490500,84079.054360
6719,MINA02035D1,7E-94E1,7E-94E1,M2035,MINAS,SLS,MINA02035D1 7E-94E1 M2035,775391.784800,81228.627990
6720,MINA02036D1,4C-25N1,4C-25N1,M2036,MINAS,SLS,MINA02036D1 4C-25N1 M2036,764635.895700,91589.215610
6721,MINA02037D1,7E-95E1,7E-95E1,M2037,MINAS,SLS,MINA02037D1 7E-95E1 M2037,775402.684800,81225.707930
6722,MINA02038D1,"1E-72","1E-72",M2038,MINAS,SLS,MINA02038D1 1E-72 M2038,766040.093600,97725.118990
6723,MINA00272V1,"9D-89","9D-89",M0272,MINAS,SLS,MINA00272V1 9D-89 M0272,777170.393200,76307.438640
6724,MINA00273V1,1C-29,1C-29,M0273,MINAS,SLS,MINA00273V1 1C-29 M0273,761680.498300,98836.624050
6725,MINA00274V1,8C-15,8C-15,M0274,MINAS,SLS,MINA00274V1 8C-15 M0274,771006.299600,80845.933510
6726,MINA00275V1,"7D-71","7D-71",M0275,MINAS,SLS,MINA00275V1 7D-71 M0275,771521.049100,81766.012550
6727,MINA00276V1,"7D-74","7D-74",M0276,MINAS,SLS,MINA00276V1 7D-74 M0276,772549.787900,81740.072700
6728,MINA00277V1,"8D-12","8D-12",M0277,MINAS,SLS,MINA00277V1 8D-12 M0277,773027.967400,80849.383660
6729,MINA00278V1,"7D-77","7D-77",M0278,MINAS,SLS,MINA00278V1 7D-77 M0278,773508.766800,81743.592770
6730,MINA00279V1,"7E-41","7E-41",M0279,MINAS,SLS,MINA00279V1 7E-41 M0279,773951.246300,82494.922030
6731,MINA00280V1,"7D-47","7D-47",M0280,MINAS,SLS,MINA00280V1 7D-47 M0280,773074.617200,82624.931800
6732,MINA00281V1,"7D-44","7D-44",M0281,MINAS,SLS,MINA00281V1 7D-44 M0281,772055.598300,82797.661510
6733,MINA00282V1,9C-25,9C-25,M0282,MINAS,SLS,MINA00282V1 9C-25 M0282,772458.088300,77992.496510
6734,MINA00283V1,"8D-15","8D-15",M0283,MINAS,SLS,MINA00283V1 8D-15 M0283,773945.266400,80827.753810
6735,MINA00284V1,"7D-41","7D-41",M0284,MINAS,SLS,MINA00284V1 7D-41 M0284,771163.489300,82663.771660
6736,MINA00285V1,4C-18,4C-18,M0285,MINAS,SLS,MINA00285V1 4C-18 M0285,766015.534300,91278.282320
6737,MINA00286V1,5C-18,5C-18,M0286,MINAS,SLS,MINA00286V1 5C-18 M0286,767488.572900,88767.185050
6738,MINA00287V1,4A-99,4A-99,M0287,MINAS,SLS,MINA00287V1 4A-99 M0287,760301.810700,88983.944120
6739,MINA00288V1,4C-63,4C-63,M0288,MINAS,SLS,MINA00288V1 4C-63 M0288,764625.645900,89898.323520
6740,MINA00289V1,"2D-36","2D-36",M0289,MINAS,SLS,MINA00289V1 2D-36 M0289,765031.564900,95907.887370
6741,MINA00290V1,5B-12,5B-12,M0290,MINAS,SLS,MINA00290V1 5B-12 M0290,762459.368400,88769.184610
6742,MINA00291SH1,5B-41,5B-41,M0291,MINAS,SLS,MINA00291SH1 5B-41 M0291,762144.668800,87841.555530
6743,MINA00292V1,5B-44,5B-44,M0292,MINAS,SLS,MINA00292V1 5B-44 M0292,762960.577900,87702.355750
6744,MINA00293V1,5A-18,5A-18,M0293,MINAS,SLS,MINA00293V1 5A-18 M0293,761529.129400,88623.144630
6745,MINA00294V1,4B-44,4B-44,M0294,MINAS,SLS,MINA00294V1 4B-44 M0294,761502.159200,90425.082730
6746,MINA00295V1,5B-15,5B-15,M0295,MINAS,SLS,MINA00295V1 5B-15 M0295,763498.837200,88684.474780
6747,MINA00296V1,4B-74,4B-74,M0296,MINAS,SLS,MINA00296V1 4B-74 M0296,762086.138700,89558.963670
6748,MINA00297V1,4B-71,4B-71,M0297,MINAS,SLS,MINA00297V1 4B-71 M0297,761046.969900,89565.763580
6749,MINA00298V1,4B-77,4B-77,M0298,MINAS,SLS,MINA00298V1 4B-77 M0298,763034.117700,89482.403840
6750,MINA00299V1,4B-47,4B-47,M0299,MINAS,SLS,MINA00299V1 4B-47 M0299,762540.588100,90393.342950
6751,MINA00300V1,8C-64,8C-64,M0300,MINAS,SLS,MINA00300V1 8C-64 M0300,770839.439900,79548.954830
6752,MINA00301V1,8C-33,8C-33,M0301,MINAS,SLS,MINA00301V1 8C-33 M0301,770179.700600,80265.724030
6753,MINA00302V1,7C-95,7C-95,M0302,MINAS,SLS,MINA00302V1 7C-95 M0302,769539.371300,81074.883160
6754,MINA00303V1,7C-63,7C-63,M0303,MINAS,SLS,MINA00303V1 7C-63 M0303,769014.021800,81967.072210
6755,MINA00304V1,7C-33,7C-33,M0304,MINAS,SLS,MINA00304V1 7C-33 M0304,768542.222200,82728.011370
6756,MINA00305V1,6C-95,6C-95,M0305,MINAS,SLS,MINA00305V1 6C-95 M0305,768004.432700,83807.160220
6757,MINA00306V1,6C-63,6C-63,M0306,MINAS,SLS,MINA00306V1 6C-63 M0306,767614.903100,84593.919380
6758,MINA00307V1,6B-62,6B-62,M0307,MINAS,SLS,MINA00307V1 6B-62 M0307,764323.536700,84701.018890
6759,MINA00308V1,6C-33,6C-33,M0308,MINAS,SLS,MINA00308V1 6C-33 M0308,767053.373600,85432.518480
6760,MINA00309V1,6A-16,6A-16,M0309,MINAS,SLS,MINA00309V1 6A-16 M0309,762561.078500,86145.517240
6761,MINA00310V1,6A-16A,6A-16A,M0310,MINAS,SLS,MINA00310V1 6A-16A M0310,762575.158500,86132.597320
6762,MINA00311V1,6B-62A,6B-62A,M0311,MINAS,SLS,MINA00311V1 6B-62A M0311,764334.056600,84681.848990
6763,MINA00312V1,5C-95,5C-95,M0312,MINAS,SLS,MINA00312V1 5C-95 M0312,766689.343900,86463.117380
6764,MINA00313V1,5C-66,5C-66,M0313,MINAS,SLS,MINA00313V1 5C-66 M0313,766980.723500,87181.836610
6765,MINA00314V1,5C-36,5C-36,M0314,MINAS,SLS,MINA00314V1 5C-36 M0314,766458.134000,88079.055670
6766,MINA00315V1,4C-98,4C-98,M0315,MINAS,SLS,MINA00315V1 4C-98 M0315,766108.464300,88851.204810
6767,MINA00976V1,9C-18A,9C-18A,M0976,MINAS,SLS,MINA00976V1 9C-18A M0976,773616.556900,78445.976170
6768,MINA00977D1,"8D-97","8D-97",M0977,MINAS,SLS,MINA00977D1 8D-97 M0977,774451.976000,78852.055790
6769,MINA00978D1,"7E-75","7E-75",M0978,MINAS,SLS,MINA00978D1 7E-75 M0978,775590.084600,81723.372940
6770,MINA00979D1,"7E-72","7E-72",M0979,MINAS,SLS,MINA00979D1 7E-72 M0979,775093.705100,81973.332690
6771,MINA00980V1,8C-49A,8C-49A,M0980,MINAS,SLS,MINA00980V1 8C-49A M0980,772246.298300,80199.664250
6772,MINA00981D1,"8D-85","8D-85",M0981,MINAS,SLS,MINA00981D1 8D-85 M0981,774453.116000,78858.855790
6773,MINA00982D1,"7E-76","7E-76",M0982,MINAS,SLS,MINA00982D1 7E-76 M0982,776563.223500,81749.302980
6774,MINA00983V1,7C-38,7C-38,M0983,MINAS,SLS,MINA00983V1 7C-38 M0983,770512.200000,82732.941450
6775,MINA00984D1,"8D-75","8D-75",M0984,MINAS,SLS,MINA00984D1 8D-75 M0984,774454.276100,78865.765860
6776,MINA00985D1,"7E-87","7E-87",M0985,MINAS,SLS,MINA00985D1 7E-87 M0985,776563.393500,81742.342980
6777,MINA00986D1,"8D-84","8D-84",M0986,MINAS,SLS,MINA00986D1 8D-84 M0986,774017.916400,79034.285570
6778,MINA00987H1,7C-39A,7C-39A,M0987,MINAS,SLS,MINA00987H1 7C-39A M0987,770580.270000,82897.001310
6779,MINA00988V1,9C-69,9C-69,M0988,MINAS,SLS,MINA00988V1 9C-69 M0988,774001.236700,76646.248000
6780,MINA00989D1,"8D-48","8D-48",M0989,MINAS,SLS,MINA00989D1 8D-48 M0989,774568.475800,79878.954770
6781,MINA00990D1,"8D-65","8D-65",M0990,MINAS,SLS,MINA00990D1 8D-65 M0990,774011.656500,79037.445630
6782,MINA00991V1,4B-74A,4B-74A,M0991,MINAS,SLS,MINA00991V1 4B-74A M0991,762346.138400,89509.773740
6783,MINA00992D1,"8D-38","8D-38",M0992,MINAS,SLS,MINA00992D1 8D-38 M0992,774561.135900,79878.054810
6784,MINA00993D1,"8D-64","8D-64",M0993,MINAS,SLS,MINA00993D1 8D-64 M0993,774005.506500,79040.555650
6785,MINA00994D1,"8D-57","8D-57",M0994,MINAS,SLS,MINA00994D1 8D-57 M0994,774554.475800,79877.244820
6786,MINA00995D1,"8D-73","8D-73",M0995,MINAS,SLS,MINA00995D1 8D-73 M0995,773998.996500,79043.845630
6787,MINA00996D1,"8D-37","8D-37",M0996,MINAS,SLS,MINA00996D1 8D-37 M0996,774547.625900,79876.404760
