WKT,OBJECTID
"MULTILINESTRING ((730098.151080023 79523.7027042999,730093.685382606 79554.8870689012,730082.888694823 79553.222769935,730059.502421118 79551.7751697505,730038.804646109 79528.3204945118,730007.523881335 79525.6548950848,729985.696705972 79523.0956962713,729983.136908384 79528.9627894782))","12015"
"MULTILINESTRING ((771661.295289503 85542.3282207357,771644.348705213 85575.0652833163))","12025"
"MULTILINESTRING ((771589.410634556 80027.6520696746,771598.969621291 80061.6243331766))","12026"
"MULTILINESTRING ((771484.521927889 85019.8261793787,771483.516528533 85025.1358734599,771467.579944281 85044.7084505907,771453.216860478 85039.0580555618,771418.930200127 85014.1464799769,771408.799611772 85007.6134862819,771408.353412155 85008.8301849056,771407.907812613 85009.1617845041))","12027"
"MULTILINESTRING ((777085.689360826 80921.4739487036,777104.409040853 80916.3933558353))","12035"
"MULTILINESTRING ((743017.07415638 69134.3822010537,743016.514457047 69133.7144017571,743027.213945781 69125.3190118883,743046.37152554 69111.1604290567,743061.074109699 69104.537637503,743148.498015819 69060.8780924891))","12044"
"MULTILINESTRING ((771921.597226832 86442.0183551887,771942.986005311 86420.4616807236,771935.085014754 86411.2767901231))","12068"
"MULTILINESTRING ((769133.005563396 88913.0843945777,769109.40679044 88899.6897072351,769082.79612126 88880.8684255985,769061.287641767 88915.5917854942,769046.480058884 88905.5128952794,768984.139630622 88866.7525324359,768959.542660221 88836.7588632724,768942.854480176 88817.8323826288,768922.594404478 88794.0355070327,768921.268107207 88779.5414228655,768923.500504986 88777.0019258561,768915.041115281 88765.3779379027,768911.699018904 88765.8211371203,768888.45404819 88722.549582691,768860.2884813 88697.0884082326,768780.832370569 88672.2797285399,768765.719787568 88667.3398326469))","12101"
"MULTILINESTRING ((771332.048609223 86010.2220783136,771332.046008852 86014.5340735758,771183.422778809 85929.7024539057,771177.069184852 85940.2143418071,771167.383295987 85934.0051477907,771173.174990281 85926.710656305,771027.119557568 85840.3322385752,771021.661463914 85836.0171428458,771000.058288541 85824.6080535131,770991.382298789 85815.8680623661,770941.957555966 85780.1015973941,770852.893158586 85720.4252552722,770845.542766029 85727.3850469899,770841.315970913 85724.396749908,770843.317369296 85717.758457376,770751.487175941 85646.57272767,770746.476781765 85642.5918316135,770732.562797548 85636.1670374717,770725.655505176 85635.3841377362,770662.82677148 85663.8902009887,770574.263064616 85707.8673450136,770577.822259726 85719.3770326725,770570.249367606 85724.1297267943,770559.453480063 85716.7143340133,770519.013522522 85737.6016075663,770502.300740252 85744.1201989586,770492.717749865 85754.2871869566,770465.428979162 85760.9108773207,770452.390992385 85773.0695628318,770444.139398638 85805.2603267387,770424.187318452 85828.7001992515,770417.725525182 85832.6837943152,770396.58135093 85802.5810255749,770386.010063207 85794.3868336683,770379.784171474 85777.5715516131))","12105"
"MULTILINESTRING ((765299.766466989 85469.5671540866,765274.260294224 85478.5193420372))","12114"
