WKT,OBJECTID,LENGTH
"MULTILINESTRING ((769925.417955324 83599.6656065663,769950.799526045 83617.2699893712))","1222",
"MULTILINESTRING ((761977.916066316 91794.645482374,761957.096889945 91786.6680893339,761882.179976192 91744.2579295314,761859.921503929 91707.961667667,761772.683125984 91415.5323831305,761755.79434962 91358.7659443748,761754.562551034 91358.106944994))","1223",
"MULTILINESTRING ((721162.639390014 70251.022787112,721169.996782429 70241.2919986114,721180.909970915 70230.5707114805))","1254",
"MULTILINESTRING ((733263.183184931 77644.7542580614,733267.210882946 77611.909695213,733186.148973615 77610.6494904163,733184.684172132 77651.356844637))","1276",
"MULTILINESTRING ((740236.148351159 70440.9657414705,740238.265648585 70443.951838291,740247.944336267 70465.2982151641,740249.614434311 70466.6338137943))","1293",
"MULTILINESTRING ((738469.551567552 72473.3159412547,738468.770468913 72466.6775486186,738467.777270984 72453.6235631377))","1294",
"MULTILINESTRING ((773069.261598515 80256.132841793,773073.275194076 80256.7932414021,773074.384792677 80259.0101390631,773076.055890871 80258.7885394446,773076.951689836 80259.4566387863,773079.845186621 80260.1166383028,773084.520981378 80261.7790368686,773128.612832322 80272.541228732,773141.530017864 80276.7490251921,773162.304487273 80371.6796228081,773162.640386871 80372.1249223477,773160.304289074 80376.3244175481,773149.15190024 80388.4939032739,773144.475105349 80388.4914028874,773144.147705596 80389.8173014056,773143.81190601 80389.2607019877,773122.428129716 80385.0484048282,773062.524596283 80371.4029148081,773004.172561441 80354.3365286697,773001.615064284 80353.7788290698,772967.987801954 80342.4844386591,772913.208964326 80312.0297675073,772903.86817648 80288.5636924701,772900.753380353 80282.9240983955,772874.163014365 80223.1723617265,772806.649984709 80264.1784111343,772789.927099458 80306.5381632782,772785.91260378 80307.3149620934))","1300",
"MULTILINESTRING ((762831.88300698 87465.3014400091,762858.034775035 87502.1559015799,762834.752700186 87507.3444938362))","1318",
"MULTILINESTRING ((770266.351054723 83922.12208115,770266.573754481 83922.1221811685,770268.46595226 83923.8933793829,770280.718039112 83920.8025838223,770284.393735193 83919.5876854704,770336.056576979 83939.1982683191,770380.695625284 83972.5231354989,770446.24284637 84056.7496485289,770457.482132757 84072.1336325811,770587.924078033 84212.4864894836,770584.357681519 84217.3522838331,770581.573484565 84217.350683596,770576.002290228 84222.436577533,770589.804974105 84234.3924655723))","1327",
"MULTILINESTRING ((773431.962080433 80519.7446828987,773456.696755063 80500.0656065382))","1328",
"MULTILINESTRING ((775803.795828828 77657.2700149836,775792.211041474 77657.0413142852,775764.478471973 77653.8182155453,775758.147481475 77622.0631497894,775724.961517683 77621.7209474501,775676.964170548 77615.1672506992,775636.210415455 77609.3868536941,775603.012051193 77615.0167448167,775594.665260104 77617.3306416004,775574.053282553 77617.6535395628,775565.832193422 77594.3083644486))","1357",
"MULTILINESTRING ((775044.191645854 79011.8054693012,775026.72116705 78985.9053962279,775018.814775731 78985.2333963109))","1360",
