WKT,OBJECTID
"MULTILINESTRING ((776606.11331341 81753.7386973824,776605.000415726 81740.6812115832,776606.340615068 81731.1675221094,776607.698515645 81706.8258488718,776590.431134824 81702.6154520217,776587.651538199 81698.5242562649,776584.398455183 81539.4294301471,776576.835464595 81525.5894446588))","20746"
"MULTILINESTRING ((775850.543549407 82790.7355978019,775856.016345208 82769.9387210457,775839.194163484 82770.8102186599))","20761"
"MULTILINESTRING ((768379.960740693 91701.2685584766,768378.626442234 91700.3776593381,768380.185440535 91700.2673595993,768374.292047873 91690.5272697944,768377.960843919 91689.7598709691,768382.861438543 91689.7628714071,768381.085640172 91693.3039673472))","20762"
"MULTILINESTRING ((769716.14946438 85006.649841983,769716.483263969 85007.2031414038,769711.249369738 85006.7576414436,769716.472362328 85026.4527202371))","20765"
"MULTILINESTRING ((766534.186725337 93261.3173729594,766530.742730533 93245.7186898455,766520.825840831 93252.2404817568,766514.589147469 93254.5548786398))","20771"
"MULTILINESTRING ((761213.402335968 90350.7765106465,761212.953936014 90355.8649049803,761201.92384729 90365.7039931301,761158.17439761 90341.3412162104,761118.081841173 90347.9552053649,761077.64408345 90373.485673572,761052.793908193 90403.2289384962,761060.362599312 90409.4282323096,761051.671608112 90418.1624218867,761041.431920168 90409.3065307757,760991.511570297 90464.2572656155,760967.874691937 90514.0241085037,760952.37770625 90545.2108726517,760946.134412023 90557.7076582816,760936.664421771 90565.4457488895,760923.621233968 90589.9965205932,760883.725873473 90640.196261561,760869.24288844 90651.3607479367,760861.334796884 90654.3429439408,760782.925881232 90677.0855118675,760774.686690501 90674.8682135926,760767.441197379 90687.3643991329,760738.278231414 90665.6651205545,760672.738511113 90580.5574088922,760670.180514409 90575.1354146622))","20775"
"MULTILINESTRING ((766390.208084166 92145.446490202,766400.699675401 92114.8066249233))","20780"
"MULTILINESTRING ((732347.146255982 75704.6757651436,732353.042149 75709.8791597504,732452.560033782 75762.9048077467,732795.633537482 75934.1554414869,732799.762133494 75925.8692510955,732807.888824069 75930.4061466173,732803.760728133 75937.7004381243,732932.669578967 76005.5539717407,733140.384538861 76111.8324682303,733223.453047555 76092.0665966871,733257.529009955 76085.8887061942,733262.429904705 76082.9056099097,733276.905288609 76081.9201121107,733279.445482878 76120.18156939,733285.436271237 76185.5525965235,733297.226757034 76199.1672821474,733334.528915328 76199.6286844551,733342.987204816 76213.6776693372,733455.323779368 76213.1708784171,733467.24146604 76213.3986790643,733729.33687312 76215.7297963131,733729.780171805 76226.5676841931,733743.36835662 76226.6847850922,733738.137163235 76216.5032961118,733850.696937389 76218.323502603,733869.744616074 76218.8883034139,733883.771000326 76219.9976032346,734147.651205746 76218.8997244771,734157.562194638 76219.4511246114,734175.154875119 76217.7994277961,734176.820772453 76228.4244160116,734188.066259847 76229.0877161209,734189.181559415 76218.3618282297,734505.400506582 76215.6276552883,734527.778781372 76218.6228536286,734529.334979223 76224.0469476675,734555.478347301 76260.1128092292,734564.728637252 76256.4643140217,734570.621829815 76267.7494018214,734561.155539864 76274.6056934187,734586.298508729 76314.9820500746,734601.448492363 76307.8039592687,734609.014483437 76314.1113527759,734611.796580481 76312.1193552187,734662.802225628 76284.7095898122,734786.306991949 76229.6861608566,734907.022459982 76193.2403108634,734906.467561475 76181.734823714,734914.598152693 76177.8724286602,734919.046147092 76186.273819583,735135.87091132 76104.5266276383,735134.53981341 76096.5623364609,735142.99650419 76093.6922403175,735143.890002774 76099.2180341952,735281.419853078 76049.503500329,735469.963549901 75954.690220846,735502.93991539 75924.6207570303,735519.310097225 75923.3023597476,735553.83006002 75906.0643816735,735560.063252898 75908.2736796711,735672.21193214 75850.8158525322,735691.366611462 75841.7481641394,735714.087787026 75829.7058793484,735754.831243122 75809.2808053132,735780.958814965 75796.2501218872,735771.771226677 75776.9553428007,735783.201214328 75771.6636495929,735790.397905468 75782.6703378112,735936.603947739 75712.0082280214,735938.839546117 75700.5039410735))","20799"
"MULTILINESTRING ((770431.984971529 79162.8957237002,770438.006565053 79161.5728256486,770429.878574334 79156.8115302107,770392.669213393 79176.8121051868,770213.587208418 79187.4553787895,770012.592932624 79134.9105200094,769938.983013664 79128.7794207041,769939.998413662 79115.2878356104,769928.750325995 79114.9480350599,769927.735726117 79127.0116217238,769907.805447816 79128.327018644,769790.424876648 79123.5080143088,769668.816710279 79116.6931118229,769666.809912484 79116.5808117807,769662.013916617 79130.1814964434,769668.807108812 79134.7287920037,769680.051195835 79142.9134839337,769705.537165438 79173.4625524567,769729.001134886 79232.8863890903,769760.159596367 79286.7782324347,769756.143900488 79290.0958284607,769761.487193787 79300.4936174757,769767.061487922 79297.6220210883,769789.865259959 79334.2526827134,769798.871746977 79372.3133416364,769766.874076426 79440.0070646264,769739.351504471 79465.2146346669,769663.379685166 79494.9310957657,769645.546402571 79520.589066104,769643.437505017 79518.9280677557,769633.184415645 79526.1182590125,769638.083109975 79529.8764552847,769591.497055659 79594.2425807213,769539.794208152 79643.9919217959,769483.215568394 79664.43629467,769461.724492936 79652.0271065387,769451.697503658 79655.1188023138))","20800"
"MULTILINESTRING ((730832.464069125 75444.5513433571,730789.483718059 75433.1391529523))","20827"
"MULTILINESTRING ((771388.100486344 86719.0647044532,771386.208288569 86717.2935062345,771379.750395837 86714.9665082272,771370.727705398 86718.5014035583,771344.201731314 86754.2197620069,771331.1573434 86779.3254332897,771313.755858201 86827.9929783039,771297.143273535 86860.6194410098,771207.103363676 86956.815827467,771165.750603548 87018.5237560577,771120.62724991 87053.1249141007,771107.700962889 87066.5036982727,771094.535773707 87107.6506519098,771082.284586968 87109.3029490239,771047.538324977 87109.5039457709,771019.585155522 87110.040742742,771001.139381821 87040.0007180991,770973.974712836 87025.270931915,770932.55395926 87012.7454420683,770862.504035796 87014.2534343024,770823.406977434 87027.5063163293))","20830"
