WKT,OBJECTID,BLOCK_NAME,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((661538.567335983 202635.486288881,665246.5630102 202639.487067647,665249.563331163 198953.491378146,661541.567655036 198950.491059155,661538.567335983 202635.486288881)))","1",Rokan,"14787.00552140000","13665843.95800000057"
"MULTIPOLYGON (((687220.507099964 221224.329427517,703287.491731782 199819.357097832,727148.00281243 187301.90951665,728429.524981789 186584.514963423,737898.515415275 178790.525127017,738964.445373232 176862.565987672,742815.234686817 168431.461631456,750790.504726629 150566.558571474,750899.022758569 150732.424621988,751005.444607095 150499.419417695,755863.438334476 157925.412145527,759606.434669427 151233.420127657,759621.43642783 136487.436525412,767041.428542919 136489.437254375,767051.429405869 127255.447424151,768912.427399766 127255.447633512,768912.428011646 121735.453813896,767051.430016473 121735.453611084,767075.431747355 103273.473994354,770791.427659836 103275.474210878,770793.428217494 101429.476175544,774505.423905982 101432.476840245,774502.424301136 99588.478654506,776361.421931558 99588.4788325479,776365.42285352 92228.4870123452,778221.420705412 92229.487109244,778223.421251843 90382.4891351952,780079.419106174 90385.4890852065,780084.419234159 84852.4950971799,783798.415330992 84854.4957995872,783808.416431784 75632.5054643857,781944.418102346 75631.505385232,781954.418719719 71944.5094367436,772674.428389569 71939.5090723644,765287.436312903 73235.5066407664,766181.434968755 77968.5016184422,744429.457894176 96176.4794027274,732901.471803498 83144.4930703834,752379.451128047 66286.5134197531,752155.451678217 66173.5137478065,752002.45178442 66138.5136580213,751809.452157107 66346.5132146933,751602.451990341 66332.5136921213,751532.452370085 66138.5136243831,751415.4524743 66221.5133539456,751304.452654486 66477.5130993289,751055.452911385 66539.5132958941,750869.45279554 66477.5130681374,750751.452985767 66373.5132745086,750433.453542459 66346.5131161377,750447.453586904 66166.5136098643,750226.453917454 66083.5138562136,750274.453600405 65751.5138605535,750101.454113041 65682.5141418954,749783.454148583 65619.5139774969,749666.454261768 65578.5143258784,749638.454210389 65412.5143244067,749327.454778717 65446.514453725,749182.454813128 65626.5139505995,749099.455061172 65820.5140071457,748892.45541705 65827.5140081945,748587.455541708 65979.5134306052,748546.45536164 66159.5134585486,748428.455538181 66249.5132036701,748373.455848903 66449.5133504089,748186.455807919 66359.5130597642,747979.456151091 66546.5130915418,747723.456399186 66518.5130102921,747523.456770034 66539.5130432651,747343.456719741 66802.5127988465,747391.456896309 66892.5125557323,747398.456904642 66996.512341177,747205.456762579 67086.5120808048,746984.457068404 67355.51192164,746811.457573014 67404.5120194129,746652.457589336 67398.5119196829,746583.457883416 67390.5119715712,746575.457437343 67098.5122123463,746468.457861274 67216.5120210501,746306.458092061 67256.5122490423,746205.458092228 67211.51184132,746238.457811736 66941.5125835224,746233.458185815 66784.5124546472,746171.457974088 66745.5126618509,746019.458524398 66818.5125906596,745829.458693796 66835.5123908486,745750.458677893 66661.5124430098,745643.458595768 66531.512966254,745402.458801205 66531.5129491272,745195.459155243 66571.5126501941,744920.459729593 66621.5126682107,744886.45958934 66464.5130612039,744970.459266277 66301.5128504499,744953.45946281 66155.5129700526,744847.45982073 66183.513025486,744757.459545196 66155.5129561868,744662.459630569 66155.5129494673,744566.459792837 66094.513179724,744566.459810697 65841.5137335363,744538.459754759 65740.5137290523,744420.459940751 65701.5134086079,744274.460063767 65661.5136825772,744224.460555289 65583.5135786003,743955.460710089 65409.5141414562,743702.460746575 65302.5140329364,743472.461177111 65650.5133769882,743186.46150527 65661.5136060956,743158.461452834 65510.5135642032,743012.461565294 65622.5138055767,742743.462241695 65482.5139960078,742658.4621142 65639.5135944413,742518.462322126 65650.5133100179,742456.462119951 65476.513887601,742344.462402242 65325.5138399053,742210.462697336 65353.5138934287,742131.462683728 65145.5143186733,741912.462871803 65038.5142127434,741755.463267552 65027.5139526165,741665.462989021 65044.5142838377,741575.463234291 65061.514091262,741352.463706057 65050.5143503427,741284.463927477 65046.5141121424,741258.463731562 64870.5143137539,741048.463807781 64511.5146903183,741010.463931246 64735.5146668532,741046.463921924 64958.5141973008,740964.464101913 65097.5140547273,740824.464308248 65133.5140509828,740783.464141532 65128.5138872475,740757.464468658 64963.5143380965,740721.464465417 64921.5142412981,740581.46466524 65051.5142241199,740447.464437945 65061.514012769,740390.464912665 64999.5143185899,740318.46491473 64792.5141482083,740251.465065485 64761.5142984565,740153.464849348 64699.514601455,740142.465128212 64637.5143866882,740246.464928868 64410.5146325777,740091.465209516 63965.5154936211,739977.465102753 63965.5154857815,739894.465356161 64094.5150213631,739719.465489182 64053.5153662589,739646.465555878 63960.5153021485,739683.465498298 63831.5152396214,739677.465416355 63738.5157039119,739590.465447983 63697.5155310915,739491.465835664 63526.5158887719,739321.466130011 63479.5156219971,739083.466106892 63650.5157650134,738892.46635441 63598.5158597289,738872.466224002 63753.5156075748,738779.466677306 63914.5154387006,738675.466891408 63929.515390399,738572.466516882 63831.5151634332,738417.466763455 63883.5150450088,738252.467217732 63852.5151886353,737942.467724442 63759.5151084187,737756.467609876 63697.51540558,737591.468061073 63712.5153531288,737350.46826616 63734.5153111888,737219.468344911 63748.5153336453,736996.468284571 63867.5150615299,736697.469032253 63898.5148861411,736552.469070991 64038.5151902005,736315.469500957 64188.5147620796,736139.469698868 64265.514922689,735979.4697898 64244.5148646446,735938.469630247 64136.5148441669,735710.469941476 64131.5146677121,735524.470348863 64100.5148099845,735416.470336063 64022.5147025686,735359.470294101 63857.515151882,735235.470382341 63965.5151610602,735075.470464144 64079.5147322494,734920.470709716 64151.5147334077,734815.471000415 64111.5150107204,734685.471017304 63971.5146880528,734578.471455761 63893.515104563,734461.47156449 63932.5148846991,734360.471552623 64072.5146677963,734175.471883148 64106.5148062147,734001.471944058 64067.5144824753,733905.472099234 64117.514513155,733726.471991664 64190.5144400559,733619.47242835 64139.5144681428,733490.47236927 64050.5146340804,733446.472430067 63904.5147529237,733199.472549406 63898.5146478766,733025.473138751 63792.5149972068,732806.473337319 63545.5151024661,732689.473460991 63365.5155892525,732632.473420346 63180.5153954528,732503.473354872 63186.5154750292,732285.473980439 63298.515711225,732105.473953624 63253.5152989861,732077.473896034 63175.5157210165,731943.474205624 63001.5157712428,731909.474053014 63023.5157434057,731814.474132337 63124.515738749,731713.474644141 63270.5156099753,731578.474484791 63360.5153534757,731449.474943604 63360.515344787,731376.475011892 63247.5156854441,731298.47491654 63175.51566862,731236.475229819 63124.515699902,731242.474799951 63040.5155122011,731376.475035998 62888.5160787385,731427.475015048 62675.5163534261,731348.474990777 62625.5163109963,731225.475010011 62686.5160652329,731124.475002584 62765.5160857261,731040.475337507 62771.5161683696,730889.47530331 62692.5161310266,730748.475588931 62642.5160844741,730653.475681519 62546.516237323,730647.475599968 62445.5162352644,730664.47542335 62299.516358464,730647.47562087 62131.5165049647,730524.47564051 62187.5166221722,730367.476032852 62243.5167371123,730339.475969638 62249.516299715,730003.476268361 62176.5163384374,729834.476489765 62148.5167883304,729700.476797912 61996.5168133258,729632.477020726 61978.5165440436,729529.477161331 62016.5169215909,729098.477542162 62008.5169499652,729181.477276017 62058.5164687438,729215.477411508 62293.5161738553,729071.4773859 62323.5166055768,729018.477569479 62276.5163472156,728893.477735024 62323.5165937588,728730.478017043 62713.5160339533,728624.477846868 62823.515898902,728503.478245489 62876.5157101175,728276.478488098 62827.515585347,728090.478370686 62823.5158633182,728032.478366168 63185.5152476284,727910.47883762 63235.5152765083,727801.478892593 63235.5152692226,727668.479127677 63094.515543534,727581.47916442 62985.515593208,727471.479308637 62735.515924571,727312.479323936 62772.5158471126,727259.479494347 62924.5158094483,727331.479499538 63022.5155096576,727282.479381314 63148.5152644369,727032.479716487 63185.515180862,726948.479539828 63011.5152350558,726846.480144197 62863.515495879,726725.480028936 62769.515502089,726657.480241125 62913.5155203102,726456.480155545 63053.5152962363,726244.480353506 63060.515297783,725998.480936311 62886.5153413198,726092.480942262 62587.5161006982,726001.48074062 62553.5159438185,725895.481080412 62875.5156091993,725710.48141197 62909.5152239716,725535.481548763 62833.5154914112,725474.481247059 63065.5154074229,725318.481571125 63064.5154696524,725185.481802312 62984.5155064641,724977.482233554 62996.5151453479,724863.482131189 62946.5156246458,724602.482221809 62920.5153995774,724462.482441861 62772.5156581406,724515.482801027 62530.5159438555,724424.482605732 62401.5158740103,724359.482597357 62590.5157683533,724280.482564352 62677.5157330959,724136.483061224 62734.5157761449,723988.483326911 62757.5156681114,723871.483445342 62662.5157473994,723799.483441232 62549.5155649579,723681.483612265 62757.5156478347,723553.483465093 62912.5153871044,723382.483824705 63000.5152731123,723674.483560449 63303.514772244,723765.483233625 63405.514706899,723700.483225645 63587.5145854612,723635.483217648 63769.5144640054,723526.483788654 63890.5140536423,723261.483660749 63644.5146087749,723151.483775789 63837.5142095304,723390.483699319 64030.5138335671,723412.483658027 64265.5140607685,723299.483995311 64390.5138835022,723178.483872828 64409.5135436998,723018.483970474 64307.5136044271,723031.484066699 64422.5136377193,722903.484442241 64592.5133354492,722772.484527461 64528.5132585253,722767.484371102 64461.5134078391,722646.484770784 64505.5133483594,722578.484464576 64570.5133393347,722578.484464242 64575.513500159,722578.484342524 66375.5111601528,718865.488833185 66375.5109077745,718865.488707324 68217.509180625,704271.504790927 68217.5081877179,697004.512857455 75037.4996232186,705858.904927282 83566.6038286326,705857.502386006 81134.4933687578,715145.491730836 81134.4940755911,715147.491725852 79291.4964065421,718856.487511149 79289.4963087947,718858.488028565 77447.4985623877,720713.485888457 77448.4986287097,720716.485942958 73760.5028968186,722572.483733355 73760.5030318861,722573.484317946 71915.5049738002,726290.480066337 71924.5056354544,726276.479342937 81140.4950247255,728144.477314759 81140.4951706846,728144.476259083 93964.4808731278,724411.480095234 94086.4800753805,724406.479976942 99570.474275477,716984.488175256 99558.4734381982,716978.487416414 106934.464859355,708931.709696756 106916.064715517,700541.505143596 115319.453696814,705274.702123133 119839.771790437,713259.490598853 119850.450183254,713264.49096346 112475.45819486,728107.474616838 112486.459887235,728098.472905093 125371.445300611,722528.479177971 125367.444476782,722522.478813713 132773.436341038,705428.717358561 132750.311479357,693673.032023178 144479.927420826,693659.58760775 144493.495187166,696514.96727177 147271.348378387,707994.893529684 158419.473226697,707114.857972373 158937.294731582,696952.81807799 164922.865557115,695856.277589249 173248.73831841,694690.364931079 183510.836316217,684574.12313968 197224.842928471,696504.500188588 197270.358927074,696501.499054867 202799.352309477,694649.501558314 202799.352029159,694648.500827501 204641.350242078,692793.503027645 204641.349959584,692798.502909102 206469.347616266,690939.504876729 206481.34750746,690937.504758511 208196.345511009,678216.519400913 208181.343602082,678214.519264307 210022.341343257,676359.521485329 210020.341203645,676355.521206268 213704.336535065,674502.523285073 213702.336391895,674500.522618663 215546.333909494,672649.525078595 215544.333764925,672642.524166921 221208.327195115,687220.507099964 221224.329427517),(716929.817806782 173480.211892826,714562.50038736 176775.626140628,711466.872560092 178283.752051374,709945.517340997 176418.437723234,710936.538228098 173506.812346628,711363.915414218 172365.358628513,716929.817806782 173480.211892826)))","2",Rokan,"768548.33360400004","6448793231.85999870300"
"MULTIPOLYGON (((716929.817806782 173480.211892826,711363.915414218 172365.358628513,710936.538228098 173506.812346628,709945.517340997 176418.437723234,711466.872560092 178283.752051374,714562.50038736 176775.626140628,716929.817806782 173480.211892826)))","4",Rokan,"19879.06496690000","24191390.57089999691"
